填表说明：根据指南编码规则编号,nan,nan,以项目批复中对应内容为准,nan,nan,以项目批复中项目实施地点为准，例：XX乡（镇）XX 村（居）,以项目竣工决算中项目主要建设内容为准,"与表2数据一致
（保留小数点后面2位）",nan,nan,"与表2数据一致
（保留小数点后面2位）",nan,nan,在“经营类、公益类、到户类“中选择,在“青稞、小麦、饲料、牦牛、乳、羊、猪、鸡、蜂、鱼虾、藏药、,在“巩固、升级、盘活、调整”中选择,在“巩固、升级、盘活、调整”中选择，仅经营类项目填写,根据实际情况填写“是/否”,在“自主运营、合作运营、委托运营“中选择,在“农村集体经济组织、农牧民专业合作社、农户、国企、私企、个,nan,根据实际情况填写“是/否”,例：2022.09,例：该项目带动建档立卡群众不低于23户79人增收，分红金额不,nan,nan,以项目实施内容对应行业单位为准,nan,在“是/否”中选择,财评、合同、立项等,在“是/否”中选择,nan,在“是/否”中选择
540425202112022,林芝市,察隅县,2021,察隅县下察隅镇松古村茶叶粗加工坊建设项目,察隅县农业农村局,下察隅镇松古村,茶叶加工厂房：建筑装饰工程725.23m2，安装工程725.23m2；门卫室：建筑装饰工程53.04m2，安装工程53.04m2；附属工程：通透式围墙116.66m，硬化面积1100.51m2，停车位1.00项，绿化面积816.32m2，给排水工程1.00项，电气工程1.00项,300,300,0,289.795688,289.795688,0,经营类,茶,升级,升级,是,,,,,,,,,,,是,确权资料,否,无需写,
540425202120030,林芝市,察隅县,2021,察隅县古拉乡安巴村软籽石榴种植项目二期,察隅县农业农村局,古拉乡安巴村,种植石榴255亩，并配套附属设施,360,360,0,333.259224,333.259224,0,经营类,石榴,调整,调整,否,,,,,,,,,,,是,确权资料,是,无需写,是
540425202112023,林芝市,察隅县,2021,察隅县茶叶园区茶叶生产基地二期工程建设项目,察隅县农业农村局,下察隅镇,建设规模及工程内容，办公住宿综合楼:建筑装饰工程3029.42㎡，安装工程3029.42㎡;茶叶加工厂:建筑装饰工程2298.27㎡，安装工程2298.27㎡;库房办公室:建筑装饰工程1360.30㎡，安装工程1360.30㎡;设备用房(含消防水池):建筑装饰工程543.90㎡，安装工程543.90㎡;附属工程:挡墙114m，路沿石1303.88m，混凝土硬化工程6849.15㎡，总平电气工程1项，总平给排水工程1项。,2900.53,2900.53,0,2591.14,2591.14,0,经营类,茶,升级,升级,是,,,,,,,,,,,否,立项批复+超过1千万的财评台账（23年）,否,是,
540425202120031,林芝市,察隅县,2021,察隅县察瓦龙乡原岗藏村石榴种植项目,察隅县乡村振兴局,察瓦龙原岗藏村,种植石榴60亩，新建蓄水池、灌溉管渠、网围栏等附属设施。,110.08,110.08,0,102.675876,102.675876,0,经营类,石榴,调整,盘活,否,,,,,,,,,,已搬迁,否,立项+50-1000万台账,是,是,是
540425202120032,林芝市,察隅县,2021,察隅县古拉乡俄库组石榴种植项目,察隅县扶贫开发办公室,古拉则巴村,土地平整52.01亩，100m³蓄水池1座，喷灌系统1项，苗木种植2692株，网围栏2199m，阀门井6座等附属设施,114,114,0,108.951623,108.951623,0,经营类,石榴,调整,调整,否,,,,,,,,,,整体搬迁，尚未移交村集体。底稿资料已写,否,立项+50-1000万台账,是,是,是
540425202120033,林芝市,察隅县,2021,察隅县古拉乡日托村石榴种植项目,察隅县乡村振兴局,古拉日托村,种植石榴30亩，新建蓄水池、灌溉管渠、网围栏等附属设施。,44.98,44.98,0,44.98,44.98,0,经营类,石榴,调整,调整,否,,,,,,,,,,尚未移交，未实际经营,否,项目资料,是,是,是
540425202116013,林芝市,察隅县,2021,察隅县竹瓦根镇城郊蔬菜种植项目,察隅县农业农村局,竹瓦根镇学尼村,温室大棚：建筑装饰工程2042.48㎡，安装工程2042.48㎡；附属工程：围墙工程（含大门）308.9m，有机营养土+营养液1项，土石方工程1项，总体电气工程1项，总体给排水工程1项。,383.78,383.78,0,371.559052,371.559052,0,经营类,设施农业,升级,升级,是,委托运营,私企,察隅县牧丰绿色农业有限公司,否,,,17923.71,10,察隅县农业农村局​,底稿资料已写,否,立项+50-1000万台账,否,是,
540425202116014,林芝市,察隅县,2021,察隅县察瓦龙乡城郊蔬菜种植项目,察隅县乡村振兴局,察瓦龙乡邓许村,360m³大棚3座，装饰工程1080㎡，安装工程1080㎡；296m³大棚2座，装饰工程592㎡，安装工程592㎡；240m³大棚9座，装饰工程2160㎡，安装工程2160㎡；216m³大棚6座，装饰工程1296㎡，安装工程1296㎡；168m³大棚1座，装饰工程168㎡，安装工程168㎡；等附属设施。,212,212,0,205.462561,205.462561,0,经营类,设施农业,升级,盘活,是,,,,,,,,,,,否,立项+50-1000万台账,否,是,是
540425202120034,林芝市,察隅县,2021,察隅县察瓦龙乡大流沙石榴种植项目,察隅县乡村振兴局,察瓦龙扎那村,种植石榴120亩，新建蓄水池、灌溉管渠、网围栏等附属设施。并引进专业人才进行察瓦龙乡全乡石榴的技术指导,201,201,0,201,201,0,经营类,石榴,调整,盘活,否,,,,,,,,,察隅县农业农村局,,否,立项批复+还未财评,否,是,是
540425202120035,林芝市,察隅县,2021,察隅县察瓦龙乡阿丙村石榴种植项目三期,察隅县扶贫开发办公室,察瓦龙阿丙村,土地平整72.07亩，100m³蓄水池1座，喷灌系统1项，苗木种植3730株，网围栏2109m，阀门井7座等附属设施,146,146,0,129.932827,129.932827,0,经营类,石榴,调整,盘活,否,,,,否,,,,,,,否,概批+50-1000万财评台账,否,是,是
540425202117013,林芝市,察隅县,2021,察隅县下察隅镇夏尼村旅游配套设施建设项目,察隅县乡村振兴局,下察隅镇夏尼村,修建停车场1个、门牌标识5个附属设施。,45,45,0,45,45,0,公益类,乡村旅游,升级,,是,,,,,,,,,察隅县农业农村局​,,否,立项批复,否,是,
540425202115004,林芝市,察隅县,2021,察隅县下察隅镇夏尼村猕猴桃园提升项目,察隅县乡村振兴局,下察隅镇夏尼村,在猕猴桃园铺设宽0.6米、长600米石板，并对360亩猕猴桃园施有机肥（每亩1吨）。,65.52,65.52,0,65.475,65.475,0,公益类,猕猴桃,巩固,,是,,,,,,,,,察隅县农业农村局​,,否,,否,是,
540425202120036,林芝市,察隅县,2021,察隅县察瓦龙乡松塔村石榴提升项目,察隅县乡村振兴局,察瓦龙松塔村,建筑安装工程:管道工程1.00沉砂池4.00座，m³蓄水池1.00座，m³蓄水池1.00座，有机肥128.20t。,189.05,189.05,0,185.29849,185.29849,0,公益类,石榴,升级,,是,,,,,,,,,,,否,财评,否,是,
540425202119031,林芝市,察隅县,2021,察隅县下察隅镇布巴村、沙玛村产业提升项目,察隅县乡村振兴局,下察隅镇布巴村、沙玛村,计划对布巴村370亩猕猴桃、30亩石榴及沙玛村370亩枇杷和280亩石榴施加有机肥（每亩1吨）。,157.5,157.5,0,157.4,157.4,0,公益类,其他,调整,,否,,,,,,,,,,,否,项目资料,否,是,
540425202115005,林芝市,察隅县,2021,察隅县下察隅镇布巴村猕猴桃园提升项目,察隅县乡村振兴局,下察隅镇布巴村,计划修建产业园道路429米及三相电接入。,75,75,0,71.78243,71.78243,0,公益类,猕猴桃,巩固,,是,,,,,,,,,,,否,立项+50-1000万台账,否,是,
540425202115006,林芝市,察隅县,2021,察隅县下察隅镇夏尼村猕猴桃种植项目,察隅县乡村振兴局,下察隅镇夏尼村,在夏尼村种植猕猴桃100亩，及灌溉、购置有机肥等附属设施。,229.48,229.48,0,229.48,229.48,0,经营类,猕猴桃,巩固,升级,是,委托运营,私企,察隅县兴农猕猴桃有限公司,是,,项目盈利时，按照合同约定向村集体分红,199534,,察隅县农业农村局​,,否,,否,是,
540425202117014,林芝市,察隅县,2021,察隅县竹瓦根镇学尼村旅游配套设施建设项目,察隅县乡村振兴局,竹瓦根镇学尼村,"村集体商超餐饮等经济用房:建筑装饰工程346.56㎡，安装工程346.56㎡;附属工程总体电气工程1.00项,总体给排水工程1.00项,硬化工程 25.59 ㎡,拆除工程228.75㎡,市政土建工程1.00项,市政管网工程1.00项,园林绿化 0.00㎡",262.72,262.72,0,242.17359,242.17359,0,经营类,乡村旅游,升级,升级,是,委托运营,个体工商户,彭琼玲,否,,,12348,,察隅县文化和旅游局,,否,立项批复+财评,否,是,
540425202104006,林芝市,察隅县,2021,察隅县竹瓦根镇高寒牧区高产养殖项目二期,察隅县农业农村局,竹瓦根镇嘎达村,牛棚：建筑装饰工程982.83㎡，安装工程982.83㎡；隔离牛舍：建筑装饰工程39.15㎡安装工程39.15㎡；宿舍兼消毒室：建筑装饰工程60.75㎡，安装工程60.75㎡；饲料加工房：建筑装饰工程60.75㎡，安装工程60.75m2；附属工程：新建实体围墙443.82m，新建大门4.00座，总平电气工程1.00项，总平给排水工程1.00项。,394,394,0,383.326447,383.326447,0,经营类,牦牛,盘活,盘活,是,委托运营,私企,西藏察鑫农业科技有限公司,否,,,,,察隅县农业农村局​,,否,立项+50-1000万台账,是,是,是
540425202117015,林芝市,察隅县,2021,察隅县古玉乡罗马村宾馆（没有实施过）,古玉乡人民政府,古玉乡罗马村,修建家庭旅馆一座,400,400,0,400,400,0,经营类,乡村旅游,升级,调整,否,委托运营,个体工商户,王新华,否,,,,,察隅县文化和旅游局,,否,租赁合同,否,是,情况说明
540425202120037,林芝市,察隅县,2021,察隅县察瓦龙乡左布村石榴种植项目,察隅县察瓦龙乡人民政府,察瓦龙左布村,"种植工程，石榴种苗6277株，种植费121.3亩，有机肥5459株，病虫害防治121.3亩，人工修枝及管护121.3亩，保水剂121.3亩，蓄水池工程2座，主水管1967.57m（PE,DN110），灌溉支水管1039.25m（PE,DN60），灌溉毛管16109.74m（PE,DN13），滴头5459个，控制阀门8个，网围栏1987.52m，客土1200.98m3",240,240,0,233.977156,233.977156,0,经营类,石榴,调整,盘活,是,自主运营,农村集体经济组织,林芝市察隅县察瓦龙乡左布村股份经济合作社,否,,,,,察隅县农业农村局,,是,确权资料+50-1000万财评统计表,是,无需写,是
540425202217016,林芝市,察隅县,2022,察隅县察瓦龙乡特色旅游产业项目,察隅县乡村振兴局,察瓦龙乡集镇,"特色产业楼：建筑装饰工程5768.20㎡,安装工程5768.20㎡;附属工程：道路硬化工程323.38㎡,花岗岩铺装工程715.01㎡,绿化工程964.87㎡,土石方工程1项，总体给排水工程1项，总体电气工程1项。设备购置：电梯2.00部，500KVA箱变1.00座。",2450,2450,0,2450,2450,0,经营类,乡村旅游,升级,巩固,是,,,,,,,,,,,否,立项批复,否,是,
540425202219032,林芝市,察隅县,2022,察隅县下察隅镇冷链库建设项目,察隅县农业农村局,下察隅集镇,计划建筑面积5731.74㎡，其中1#冷藏库3892.36m³，2#冷冻库2186.87m³及其他附属设施等。,2300,2300,0,2214.01,2214.01,0,经营类,商贸流通,巩固,巩固,是,,,,,,,,,,,否,立项批复+1000万以上台账（24年）,否,是,
540425202219033,林芝市,察隅县,2022,察隅县察瓦龙乡冷链库建设项目,察隅县乡村振兴局,察瓦龙乡集镇、扎恩村,"冷链库:建筑装饰工程1830.06㎡,安装工程1830.06㎡;石榴仓库:建筑装饰工程45.36㎡，安装工程45.36㎡;物流仓库:建筑装饰工程503.12㎡，安装工程503.12㎡值班室:建筑装饰工程158.40㎡，安装工程158.40㎡;附属工程:土石方工程1项，挡墙工程1项，不锈钢伸缩门2套，围墙工程220m，原有围墙拆除及新建围墙工程24m，混凝土硬化工程2776.44㎡，混凝土硬化破除、恢复工程93.78㎡，减速带14m，截水沟22米，绿化工程1项，砖砌踏步1项，总体给排水工程1项总体电气工程1项。设备购置:冷链库设备购置1项，石榴仓库设备购置1项，400KVA变压器1台,高效双线机械选果机XGJ-JL型1套，冷链车1台，又车1台。",1200,1200,0,1154.024321,1154.024321,0,经营类,商贸流通,巩固,盘活,否,,,,,,,,,,,否,财评,是,是,是
540425202219035,林芝市,察隅县,2022,察隅县上、下察隅镇木耳种植项目,察隅县乡村振兴局,下察隅共同村、上察隅荣玉村,"温室大棚:建筑装饰工程1222.44㎡,安装装工程1222.44㎡;育菌室:建筑装饰工程124.22㎡，安装工程124.22m:包装同:建筑装饰工程131.68㎡，安装工程131.68㎡:大门:建筑装饰工程1.00项;附属工程:总平给排水工程1.00项土石方工程1.00项，总平电气工程1.00项。",183.9,183.9,0,178.858872,178.858872,0,经营类,菌类,升级,升级,是,委托运营,私企,淳安千岛湖正杰农业发展有限责任公司,否,,,,,​察隅县农业农村局,,否,立项批复+财评,是,是,
540425202212024,林芝市,察隅县,2022,察隅县巩固村搬迁配套茶叶种植项目,察隅县农业农村局,上察隅桑典村,"土地平整:土方清理2129.4m³,石方清理26764m³，场地平整330197.6m³，种植沟开挖10646.8m³，种植沟回填8519.44m³;种植工程:茶苗1337040株,防草布267383.24㎡,反光膜74275.05㎡,有机肥247.6t;种植辅助工程:灌溉工程1项，铁丝网围栏4723m，大门及标牌1项;",1040,1040,0,892.979847,892.979847,0,经营类,茶,升级,升级,是,自主运营,农村集体经济组织,西藏自治区林芝市察隅县上察隅镇桑典村股份经济合作社,,,,,,,"2024年村集体接收与管护，管护验收通过率为60%，未开始采摘,无法开展评估",否,财评,是,是,
540425202204008,林芝市,察隅县,2022,察隅县古玉乡巴依、玉和村犏牛养殖项目,察隅县乡村振兴局,古玉乡巴依村,"1#牛棚:建筑装饰工程982.83㎡安装工程982.83㎡;2#牛棚:建筑装饰工程982.83㎡，安装工程982.83m;3#牛棚:建筑装饰工程982.83m，安装工程982.83㎡犊牛舍:建筑装饰工程420.21㎡，安装工程420.21㎡;草料棚:建筑装饰工程263.61㎡，安装工程263.61㎡;消毒室兼管理用房:建筑装饰工程85.05㎡，安装工程85.05㎡;隔离牛舍:建筑装饰工程39.15㎡，安装工程39.15㎡;牛粪处理间:建筑装饰工程66.15㎡安装工程66.15㎡;总平附属工程:土石方工程1项，给排水工程1项,电气工程1项,混凝土道路850.63㎡,三合土活动区2361.76㎡，粪便处理区161.76㎡，新建围墙505.05m，铁围栏351.8m，2m高挡墙80m，新建大门3座。设备购置费:饲料粉碎机2台，室外箱变1项，饲草料1项，精饲料1项，仔牛(母)154头，母牛4头种牛8头，消毒设备1项，牛粪生物质燃料压块1项。",975.89,975.89,0,945.208976,945.208976,0,经营类,牦牛,盘活,盘活,是,委托运营,私企,西藏察鑫农业科技有限公司,否,,,,,察隅县农业农村局​,,否,财评+50-1000万台账,是,是,是
540425202215007,林芝市,察隅县,2022,察隅县2022年拉丁村搬迁配套猕猴桃种植项目,察隅县农业农村局,下察隅拉丁村,"猕猴桃种植配套工程：灌溉工程1项，立柱11499根，新建铁丝网围栏1585.4m,1.8mm钢丝262780m,砂砾石路面1890.42m²,表土清理19999.98m³(含树木砍伐及转运),种植土换填2589.62m³,标志标牌工程1座，大门2座，防草布26343.6m²,3.5米高太阳能杀虫灯10盏；猕猴桃工程：猕猴桃苗11989株，猕猴桃种植150亩，病虫害防治150亩，人工修枝及管护(三年)150亩，有机肥225吨。",454,454,0,454,454,0,经营类,猕猴桃,巩固,升级,是,委托运营,私企,西藏利隆农业有限公司,否,,,,,,2025年才挂果,否,立项批复+财评还未出,否,是,
540425202212025,林芝市,察隅县,2022,察隅县2022年本堆村搬迁配套茶叶种植项目,察隅县农业农村局,上察隅镇本堆村,土地平整工程1项，种植沟开挖，回填工程1项，管道工程1项，沉砂池1座，取水口1座，50立方米蓄水池1座；第一次茶叶种植724500株，第二次种植茶叶198080株，防草布164373.3平方米，反光膜45659.25平方米，有机肥157.5吨，铁丝网围栏2783.5米，大门2座，标识牌1个。该项目的实施可保证搬迁群众的产业发展，保证搬迁群众的产业收入。经营主体：本堆村搬迁点村委会；项目建成后可有效带动91户，418人实现增收。,558.73,558.73,0,558.73,558.73,0,经营类,茶,升级,升级,否,,,,,,,,,,,否,立项批复+50-1000万台账（未注明审定金额）,是,是,
540425202204009,林芝市,察隅县,2022,察隅县古玉乡犏牛养殖场配套设施项目,古玉乡人民政府,古玉乡,通电工程1项,100,100,0,94.24684,94.24684,0,公益类,牦牛,盘活,,否,,,,,,,,,察隅县农业农村局​,,否,确权资料+50-1000万台账+财评,否,是,
540425202321003,林芝市,察隅县,2023,察隅县下察隅镇卡地村林下菌类种植项目,察隅县农业农村局,下察隅卡地村,建设内容：管理用房：建筑装饰工程68.75㎡，安装工程68.75㎡;加工厂：建筑装饰工程542.8㎡，安装工程542.8㎡;室外附属工程：室外电气工程1项，室外给排水工程1项，照明工程10盏，场地平整1项，场地道硬化1386.3㎡，排水沟96.58m，护栏80.32m，1.5m高挡土墙80.32m，通透式围墙149.78m;供水工程：给水管道工程1项，100m³蓄水池1座；田间种植、灌溉工程：场地清表106667.99㎡，灌溉工程1项；其他工程：网围栏2949.32m，大门6座，简介标识牌3座。设备购置及安装：茯苓菌棒1884m³，茯苓菌种100000袋，不锈钢操作台1套，成品钢制货架30个，成品烘千设备40kw6套，监控终端设备1套。可行性、必要性：该项目的建设可有效带动察隅县林下菌类产业发展，促进农牧民增收；经营主体：下察隅镇人民政府；效益分析：项目建成后可有效带动48户，266人实现增收。,824.26,824.26,0,759.384732,759.384732,0,经营类,菌类,升级,调整,是,自主运营,农村集体经济组织,西藏自治区林芝市察隅县下察隅镇卡地村股份经济合作社,是,,,,,,,否,立项批复+财评,是,是,
540425202321004,林芝市,察隅县,2023,察隅县上察隅镇布宗村林下菌类种植项目,察隅县农业农村局,上察隅镇布宗村,建设内容：田间种植、灌溉工程：场地清表14540m³，灌溉工程1项，200m³蓄水池1座，取水口1座，过滤池1座；附属工程：网围栏2972.27m，大门11座，简介标识牌4个，机耕道5681.04㎡，盖板沟5米；设备购置及安装：木耳菌包387831袋。可行性、必要性：该项目的建设可有效带动察隅县林下菌类产业发展，促进农牧民增收。经营主体：上察隅镇人民政府；效益分析：项目建成后可有效带动26户，142人实现增收。,777.72,777.72,0,703.055879,703.055879,0,经营类,菌类,升级,升级,是,委托运营,私企,西藏上诚健康产业股份有限公司,否,,,,,,因经营主体财务数据不健全等原因无法开展评估,否,立项批复+财评,否,是,
540425202315008,林芝市,察隅县,2023,察隅县下察隅镇沙琼村、洞冲村入股猕猴桃基地项目,中共察隅县委组织部,下察隅镇沙琼村、洞冲村,项目计划将资金入股华源佳隅农业科技技术开发有限公司（目前该公司拥有猕猴桃种植园1500亩，年亩产猕猴桃2500斤，可实现产值3750万元/年，带动周边群众务工收入近200万元，土地流转费用200万元以上），基地在保证70万元/村本金不损失的情况下，每年按照扶持资金的5%向入股村集体分红，为2个村每年集体增收共7万元。同时，如果出现撤股情况，村集体保证将70万元本金继续用于村集体经济建设。,140,140,0,140,140,0,经营类,猕猴桃,巩固,巩固,是,委托运营,私企,林芝华源佳隅农业科技开发有限公司,否,,,,,察隅县农业农村局​,,否,项目资料（用多少批多少，无需财评）,否,是,
540425202316016,林芝市,察隅县,2023,察隅县农产品加工产业园项目,察隅县农业农村局,察隅县,修建啤酒、自来水加工厂房、成品仓库、原料仓库、综合楼、配套用房、公厕、水电工程、绿化硬化等，建筑面积7550.34㎡。,4700,4700,0,4408.470034,4408.470034,0,经营类,设施农业,升级,升级,是,,,,,,,,,,,否,立项批复，项目资料,否,是,
540425201919037,林芝市,察隅县,2019,察隅县察瓦龙乡经济林种植基地建设项目,察瓦龙乡人民政府,察瓦龙乡,种植核桃900亩、石榴700亩,1530,1530,0,1529.925959,1529.925959,0,经营类,核桃、石榴,调整,调整,是,,,,,,,,,,,否,察隅县林草局提供了资料,否,是,是
540425202007021,林芝市,察隅县,2020,察隅县上察隅镇、下察隅镇村仔猪养殖项目,察隅县农业农村局,二镇所有行政村,为两镇的贫困户购置仔猪2048头。,380,380,0,380,380,0,到户类,猪,盘活,,,,,,,,,,,,,否,,否,是,
540425201917017,林芝市,察隅县,2019,察隅县古拉乡觉布如村家庭旅馆建设项目,察隅县扶贫开发办公室,古拉乡觉布如村,占地面积400平米，其中农家乐建筑面积310平米，绿化用地90平米，农家乐配套餐饮、住宿和便利商店。,62.49,60,2.49,62.49,60,2.49,经营类,乡村旅游,升级,调整,否,,,,,,否,,,,已搬迁,是,确权资料,否,无需写,是
540425202216017,林芝市,察隅县,2022,察隅县下察隅镇沙玛村枇杷种植水肥一体化项目,察隅县林业和草原局,下察隅镇沙玛村,"饮水灌溉工程：滴灌供水管1.00项 ,集水池1.00项，沉砂池1.00项；附属工程：除草工程1项，室外总水1项，室外总电1项，标识标牌2个，铁艺大门1座，1.5米高挡墙20.6m，附属用房庭院1.5米高围墙51m，附属用房庭院大门1座，150厚水泥硬化地面226m2；设备用房1#：建筑装饰工程48.84m2，安装工程48.84m2；设备用房2#：建筑装饰工程48.84m2，安装工程48.84m2；附属用房：建筑装饰工程81.00m2，安装工程81.00m2；设备购置：柴油发电机2.00台，智能水肥一体机2.00台。",227,227,0,214.340226,214.340226,0,经营类,设施农业,升级,升级,是,委托运营,私企,林芝毛尖茶叶有限责任公司,否,,,,1000,察隅县农业农村局​,与察隅县茶叶产业项目（第二批）地点实施，枇杷茶叶套种,否,立项+50-1000万台账,是,是,
540425202116018,林芝市,察隅县,2021,察隅县上察隅镇布宗村温室大棚建设项目,察隅县上察隅镇人民政府,上察隅镇布宗村,温室大棚：建筑装饰工程1320.00m2，安装工程1320.00m2。,26.37,26.37,0,26.37,26.37,0,公益类,设施农业,升级,,是,,,,,,,,,,,否,立项批复+50-1000万台账（未注明审定金额）,否,是,
540425202212029,林芝市,察隅县,2022,察隅县下察隅镇卡地村茶园提升改造建设项目,察隅县农业农村局,下察隅镇卡地村,水肥一体化用房：建筑装饰工程51.65m2，安装工程51.65m2；附属工程：智能溯源体系1项，室外电气工程1项，室外灌溉工程1项；景观工程：主大门1座，次大门1座，景观木屋1座，木栈道672m，金属围网643m，碎石道路2525m2，石材铺装273m2，种植工程1项，葡萄廊架30m，茶树补栽1项,415.88,415.88,0,402.644336,402.644336,0,公益类,茶,升级,,,,,,否,,,,,,,否,立项+50-1000万台账,是,是,
540425202016019,林芝市,察隅县,2020,察隅县拉丁村昌林养殖场建设项目,察隅县产业发展工作领导小组办公室,下察隅拉丁村,新建4座猪舍，及围墙500m等,120,120,0,120,120,0,经营类,猪,升级,升级,是,合作运营,私企,察隅县昌林养殖有限公司,是,,,,100,,,否,合同,否,是,
540425202012030,林芝市,察隅县,2020,察隅县下察隅镇松古村24道班茶叶种植项目,察隅县农业农村局,下察隅镇松古村,"土地平整:土方清理3688.90m³，石方清理2800.00m³，场地平整141418.80㎡;灌溉工程:管道工程1.00项，沉砂池1.00 座，取水口1.00 座，50m蓄水池 1.00 座;茶叶种植:第一次茶叶种植492119.00株，第二次茶叶种植(补植)84848.00株，防草布101460.48㎡，反光膜 30746.80㎡，有机肥106.06t;附属设施:铁丝网围栏 1830.40m,大门1.00座，标识牌1.00个",415.2,415.2,0,395.812157,395.812157,0,经营类,茶,升级,升级,是,,,,,,,,,,,否,其他资料+50-1000万台账,否,是,
54042520151938,林芝市,察隅县,2015,阿丙村家庭旅馆风格改造工程,察隅县察瓦龙乡人民政府,察瓦龙乡阿丙村,对阿丙村96户居民进行家庭旅馆的风格改造，为每户安装围布、顶灯、线路改造，进行墙面粉刷,28.8,28.8,0,28.8,28.8,0,公益类,其他,巩固,,,,,,,,,,,,,否,项目资料,是,是,
54042520161939,林芝市,察隅县,2016,察隅县机械购置项目,察隅县农业农村局,察隅县,购置农机具,179,179,0,179,179,0,到户类,其他,调整,,,,,,,,,,,,,否,,否,是,
54042520161940,林芝市,察隅县,2016,古拉乡贫困村微耕机购置,古拉乡人民政府,古拉乡,购买微耕机,55,55,0,55,55,0,到户类,其他,调整,,,,,,,,,,,,,否,,否,是,
54042520171941,林芝市,察隅县,2017,察隅县察瓦龙乡微耕机购置项目,察瓦龙乡人民政府,察瓦龙乡,为察瓦龙乡购置常柴188微耕机336台，配套犁、深耕刀和500-12轮胎,150.024,150.024,0,150.024,150.024,0,到户类,其他,调整,,,,,,,,,,,,确权申报主体是察隅县扶贫开发办公室,是,确权资料,否,无需写,
54042520191942,林芝市,察隅县,2019,察隅县上察隅镇农业机械采购项目,上察隅镇人民政府,上察隅镇,以村集体、双联户或贫困户为单位，采购微耕机、收割机、脱粒机等农机具,99.61,99.61,0,99.61,99.61,0,到户类,其他,调整,,,,,,,,,,,,,是,确权资料,否,无需写,
54042520191943,林芝市,察隅县,2019,察隅县竹瓦根镇农业机械采购项目,竹瓦根镇人民政府,竹瓦根镇,以村集体、双联户或贫困户为单位，采购微耕机、收割机、脱粒机等农机具,97.21,97.21,0,97.1505,97.1505,0,到户类,其他,调整,,,,,,,,,,,,,是,确权资料+50-1000万财评统计表（没有审定金额）,否,无需写,
54042520191944,林芝市,察隅县,2019,察隅县察瓦龙乡农业机械采购项目,察瓦龙乡人民政府,察瓦龙乡,以村集体、双联户或贫困户为单位，采购微耕机、收割机、脱粒机等农机具,95.526,95.526,0,95.526,95.526,0,到户类,其他,调整,,,,,,,,,,,,,是,确权资料,否,无需写,
54042520191945,林芝市,察隅县,2019,察隅县古拉乡农业机械采购项目,古拉乡人民政府,古拉乡,以村集体、双联户或贫困户为单位，采购微耕机、收割机、脱粒机等农机具,94.5,94.5,0,94.5,94.5,0,到户类,其他,调整,,,,,,,,,,,,,是,确权资料,否,无需写,
54042520191946,林芝市,察隅县,2019,察隅县古玉乡农业机械采购项目,古玉乡人民政府,古玉乡,以村集体、双联户或贫困户为单位，采购微耕机、收割机、脱粒机等农机具,99.96,99.96,0,99.96,99.96,0,到户类,其他,调整,,,,,,,,,,,,,是,确权资料,否,无需写,
54042520191947,林芝市,察隅县,2019,察隅县2019年高标准农田建设项目,察隅县农业农村局,察隅县,在布宗村：田间整治工程252亩；桑久村：田间整治工程426亩；桑久村珠组：田间整治工程90亩；桑久村加达组：田间整治工程94亩；；龙古村：田间整治工程248亩；目若村：田间整治工程223亩；曲瓦村：田间整治工程164亩；日东村：田间整治工程192亩；日东之推组：田间整治工程178亩；知美村：田间整治工程：670亩；雄久村：田间整治工程23亩；雄久村达巴组：田间整治工程250亩；雄久村西拖拉卡组：田间整治工程：307亩；罗马村：田间整治工程320亩；机耕道工程：空档村然巴组：田间整治工程92亩；空档村色巴组，田间整治工程325亩；空档村：田间整治工程446亩；邓许存邓许组：田间整治工程17亩；机耕道工程430米；邓许村熊组：田间整治工程45亩；邓许村共同组：田间整治工程120亩；龙普存：田间整治工程415亩；前中瓦村：田间整治工程600亩；沙布村：田间整治工程273亩；玉和村布玉组：田间整治工程273亩；玉和村达达组：田间整治工程290亩等,1304.02,1304.02,0,1184.286978,1184.286978,0,公益类,其他,调整,,,,,,,,,,,,,否,立项批复+1000万以上台账（22年）,否,是,
54042520161948,林芝市,察隅县,2016,察隅县生态旅游规划及开发,文化和旅游局,察隅县,邀请专业机构进行整体及旅游发展规划。编制上察隅镇、下察隅镇总体规划和详细规划；援藏项目设计、地形图测量和地质灾害评估费用；察隅县援藏公寓维护等费用,450,450,0,450,450,0,公益类,其他,调整,,,,,,,,,,,,,否,数据统计来源于察隅县2015年援藏投资项目计划表（被审计单位文件夹，附件2：援藏项目）,否,是,
540425201720002,林芝市,察隅县,2017,察瓦龙乡昌西村突尼斯软籽石榴到户种植项目,察瓦龙乡人民政府,察瓦龙乡昌西村,种植197亩到户突尼斯软籽石榴其配套灌溉设施，肥料、农药及管护197亩,298.52,298.52,0,298.52,298.52,0,到户类,石榴,升级,,,,,,,,,,,,,否,立项批复+50-1000万财评统计表（没有审定金额）,是,是,
540425201720003,林芝市,察隅县,2017,察瓦龙乡阿丙村突尼斯软籽石榴到户种植项目,察瓦龙乡人民政府,察瓦龙乡阿丙村,种植109亩到户突尼斯软籽石榴其配套灌溉设施，肥料、农药及管护109亩,176.6,176.6,0,176.6,176.6,0,到户类,石榴,升级,,,,,,,,,,,,,否,6个到户，是同一项目，没有审定金额，只有立项批复但是和台账不一致,是,是,
